100,27
81,28
77,36
75,38
70,38
63,51
54,39
49,58
47,60
44,47
44,55
44,61
42,68
41,64
40,54
37,58
36,56
33,56
33,68
31,56
98,23
97,22
72,39
71,39
70,51
66,54
57,46
54,46
52,48
52,55
50,59
49,53
45,48
45,70
40,68
39,65
36,60
34,69
26,81
16,76
99,33
81,35
66,36
66,54
62,41
59,47
59,40
56,48
54,39
54,50
52,60
49,56
44,58
43,50
41,54
39,62
35,67
34,65
34,64
21,75
86,32
74,44
69,42
67,36
66,50
65,47
62,45
61,39
59,54
59,48
55,46
45,62
45,52
44,66
43,68
41,46
39,55
28,53
26,76
23,63
