100,22.8
81,41.7
77,35
75,34
70,35.3
63,50.6
54,51.7
49,52.3
47,49.9
44,53.4
44,50.7
44,61.4
42,59.2
41,57.9
40,52.6
37,55.2
36,48.8
33,59.5
33,63.7
31,48.5
98,25.3
97,30.5
72,35
71,45.3
70,54.1
66,48.1
57,38.1
54,46.4
52,44.3
52,62
50,54.5
49,47.9
45,53.7
45,55.7
40,63
39,55.5
36,56
34,61.4
26,65.4
16,63.8
99,40
81,34.7
66,37.4
66,37.9
62,44.5
59,52
59,34.8
56,56.6
54,47.9
54,48.3
52,53.1
49,48.4
44,58.3
43,51.3
41,54.5
39,61.1
35,65.9
34,57.5
34,57.3
21,61.9
86,31.4
74,42.2
69,45.3
67,32.8
66,47.7
65,48.3
62,49.5
61,44.3
59,62.9
59,52
55,52.9
45,54
45,45.9
44,57.5
43,54.2
41,37.7
39,57.6
28,53
26,67.7
23,62.4
