100,106
81,68
77,74
75,84
70,62
63,74
54,36
49,44
47,56
44,39
44,45
44,45
42,48
41,44
40,34
37,28
36,37
33,28
33,35
31,31
98,95
97,89
72,63
71,67
70,73
66,65
57,47
54,54
52,51
52,52
50,52
49,51
45,42
45,56
40,45
39,45
36,35
34,34
26,34
16,22
99,85
81,102
66,66
66,69
62,67
59,61
59,51
56,56
54,39
54,43
52,51
49,44
44,38
43,31
41,39
39,49
35,41
34,40
34,36
21,26
86,83
74,73
69,68
67,58
66,68
65,62
62,68
61,55
59,62
59,47
55,55
45,46
45,36
44,41
43,47
41,40
39,33
28,27
26,35
23,20
